"","State","WeekOfYear","GSV_anxiety","GSV_depression","GSV_insomnia","GSV_suicide","GSV_therapy","GSV_index","GSV_workout","SP","NCases","NDeaths","Unemplyment_claims","Recreation","Grocery","Transit","Parks","Workplace","Residential","Mobility_index","Mobility_index_excl_Mobility","Drug_death","stringency","GSV_workout_L1","SP_L1","NCases_L1","NDeaths_L1","Unemplyment_claims_L1","Recreation_L1","Grocery_L1","Transit_L1","Parks_L1","Workplace_L1","Residential_L1","Mobility_index_L1","Mobility_index_excl_Mobility_L1","Drug_death_L1","stringency_L1","GSV_workout_L2","SP_L2","NCases_L2","NDeaths_L2","Unemplyment_claims_L2","Recreation_L2","Grocery_L2","Transit_L2","Parks_L2","Workplace_L2","Residential_L2","Mobility_index_L2","Mobility_index_excl_Mobility_L2","Drug_death_L2","stringency_L2"
"21","Alabama","29",95,65,75,48,69,70.4,75,0.0186957391978784,13615,226,17.437,-8.14285714285714,2.42857142857143,3.71428571428571,46.1428571428571,-25.7142857142857,7,4.23809523809524,-4.14285714285714,919,28.7,79,0.0165960856129106,14482,149,23.676,-8.28571428571429,1.85714285714286,4.14285714285714,42.2857142857143,-26.1428571428571,7.42857142857143,3.54761904761905,-4.2,919,28.7,60,0.0145244477129559,9437,153,20.563,-7.57142857142857,5.85714285714286,3,51.8571428571429,-32.5714285714286,7.85714285714286,4.73809523809524,-4.68571428571429,919,34.26
"22","Arizona","09",79,92,89,57,77,78.8,68,-0.0399078067009568,0,0,3.357,7.57142857142857,4.14285714285714,7,13.7142857142857,2.57142857142857,-0.857142857142857,5.69047619047619,4.08571428571429,2101,5.56,64,-0.0718276468790519,0,0,3.086,3.71428571428571,0.714285714285714,3.42857142857143,8.28571428571429,-3.71428571428571,1.14285714285714,2.26190476190476,1.05714285714286,2064,5.56,55,0.00373464373464372,0,0,3.151,5,2.5,3,21.5,-0.5,-0.5,5.16666666666667,1.9,2064,5.56
"23","Arizona","10",65,86,69,43,67,66,60,-0.0403346906974498,4,0,3.844,7.57142857142857,5.85714285714286,6.57142857142857,16.2857142857143,1.85714285714286,-1.14285714285714,6.16666666666667,4.14285714285714,2101,11.11,68,-0.0399078067009568,0,0,3.357,7.57142857142857,4.14285714285714,7,13.7142857142857,2.57142857142857,-0.857142857142857,5.69047619047619,4.08571428571429,2101,5.56,64,-0.0718276468790519,0,0,3.086,3.71428571428571,0.714285714285714,3.42857142857143,8.28571428571429,-3.71428571428571,1.14285714285714,2.26190476190476,1.05714285714286,2064,5.56
"24","Arizona","11",59,86,53,26,68,58.4,77,-0.122488489815178,8,0,29.348,2.71428571428571,11.7142857142857,-2,0,-7.85714285714286,2.28571428571429,1.14285714285714,1.37142857142857,2101,11.11,60,-0.0403346906974498,4,0,3.844,7.57142857142857,5.85714285714286,6.57142857142857,16.2857142857143,1.85714285714286,-1.14285714285714,6.16666666666667,4.14285714285714,2101,11.11,68,-0.0399078067009568,0,0,3.357,7.57142857142857,4.14285714285714,7,13.7142857142857,2.57142857142857,-0.857142857142857,5.69047619047619,4.08571428571429,2101,5.56
"25","Arizona","12",71,82,52,38,55,59.6,80,-0.032366093492383,139,2,88.94,-22.1428571428571,7.14285714285714,-20.8571428571429,-6.28571428571429,-27.1428571428571,10,-9.88095238095238,-10.6,2101,27.7757142857143,77,-0.122488489815178,8,0,29.348,2.71428571428571,11.7142857142857,-2,0,-7.85714285714286,2.28571428571429,1.14285714285714,1.37142857142857,2101,11.11,60,-0.0403346906974498,4,0,3.844,7.57142857142857,5.85714285714286,6.57142857142857,16.2857142857143,1.85714285714286,-1.14285714285714,6.16666666666667,4.14285714285714,2101,11.11
"26","Arizona","13",64,100,60,38,57,63.8,98,0.0560856116665918,767,15,132.428,-35.5714285714286,-12.5714285714286,-35.5714285714286,-10.2857142857143,-37.4285714285714,14.1428571428571,-19.547619047619,-21.4,2101,33.33,80,-0.032366093492383,139,2,88.94,-22.1428571428571,7.14285714285714,-20.8571428571429,-6.28571428571429,-27.1428571428571,10,-9.88095238095238,-10.6,2101,27.7757142857143,77,-0.122488489815178,8,0,29.348,2.71428571428571,11.7142857142857,-2,0,-7.85714285714286,2.28571428571429,1.14285714285714,1.37142857142857,2101,11.11
"27","Arizona","14",70,93,61,47,60,66.2,90,0.0289484986013254,1350,47,98.531,-37.7142857142857,-14,-40,-20,-42.4285714285714,15.4285714285714,-23.1190476190476,-23.7428571428571,2146,46.0328571428571,98,0.0560856116665918,767,15,132.428,-35.5714285714286,-12.5714285714286,-35.5714285714286,-10.2857142857143,-37.4285714285714,14.1428571428571,-19.547619047619,-21.4,2101,33.33,80,-0.032366093492383,139,2,88.94,-22.1428571428571,7.14285714285714,-20.8571428571429,-6.28571428571429,-27.1428571428571,10,-9.88095238095238,-10.6,2101,27.7757142857143
"28","Arizona","15",57,88,42,36,51,54.8,89,0.0701847402243355,1270,51,72.457,-41.4285714285714,-16.7142857142857,-42.5714285714286,-24.8571428571429,-45.7142857142857,16.2857142857143,-25.8333333333333,-26.0285714285714,2146,57.67,90,0.0289484986013254,1350,47,98.531,-37.7142857142857,-14,-40,-20,-42.4285714285714,15.4285714285714,-23.1190476190476,-23.7428571428571,2146,46.0328571428571,98,0.0560856116665918,767,15,132.428,-35.5714285714286,-12.5714285714286,-35.5714285714286,-10.2857142857143,-37.4285714285714,14.1428571428571,-19.547619047619,-21.4,2101,33.33
"29","Arizona","16",78,75,68,40,67,65.6,100,-0.0384742415831009,1390,69,52.581,-36.4285714285714,-15.8571428571429,-39,-18.5714285714286,-42.7142857142857,15.5714285714286,-22.8333333333333,-23.6857142857143,2146,64.81,89,0.0701847402243355,1270,51,72.457,-41.4285714285714,-16.7142857142857,-42.5714285714286,-24.8571428571429,-45.7142857142857,16.2857142857143,-25.8333333333333,-26.0285714285714,2146,57.67,90,0.0289484986013254,1350,47,98.531,-37.7142857142857,-14,-40,-20,-42.4285714285714,15.4285714285714,-23.1190476190476,-23.7428571428571,2146,46.0328571428571
"30","Arizona","17",54,85,87,51,65,68.4,81,0.0463465080246733,1597,91,43.023,-35.4285714285714,-14,-38.2857142857143,-18.4285714285714,-42.5714285714286,15.1428571428571,-22.2619047619048,-23.0285714285714,2146,64.81,100,-0.0384742415831009,1390,69,52.581,-36.4285714285714,-15.8571428571429,-39,-18.5714285714286,-42.7142857142857,15.5714285714286,-22.8333333333333,-23.6857142857143,2146,64.81,89,0.0701847402243355,1270,51,72.457,-41.4285714285714,-16.7142857142857,-42.5714285714286,-24.8571428571429,-45.7142857142857,16.2857142857143,-25.8333333333333,-26.0285714285714,2146,57.67
