"","State","WeekOfYear","GSV_anxiety","GSV_depression","GSV_insomnia","GSV_suicide","GSV_therapy","GSV_index","GSV_workout","SP","NCases","NDeaths","Unemplyment_claims","Recreation","Grocery","Transit","Parks","Workplace","Residential","Mobility_index","Mobility_index_excl_Mobility","Drug_death","GSV_workout_L1","SP_L1","NCases_L1","NDeaths_L1","Unemplyment_claims_L1","Recreation_L1","Grocery_L1","Transit_L1","Parks_L1","Workplace_L1","Residential_L1","Mobility_index_L1","Mobility_index_excl_Mobility_L1","Drug_death_L1","GSV_workout_L2","SP_L2","NCases_L2","NDeaths_L2","Unemplyment_claims_L2","Recreation_L2","Grocery_L2","Transit_L2","Parks_L2","Workplace_L2","Residential_L2","Mobility_index_L2","Mobility_index_excl_Mobility_L2","Drug_death_L2"
"1235","Texas","39",92,58,82,45,83,72,61,0.00600198457580435,46598,446,42.338,-17.8571428571429,-11.1428571428571,-27.2857142857143,-8.57142857142857,-28.2857142857143,9.28571428571429,-13.9761904761905,-15.0571428571429,3986,63,-0.0251764083264729,29100,474,41.351,-16,-9.42857142857143,-24.8571428571429,7.42857142857143,-28,7.85714285714286,-10.5,-14.0857142857143,3986,74,0.0208173261621205,21124,517,48.426,-16.7142857142857,-9.42857142857143,-26,3.14285714285714,-35.1428571428571,9.42857142857143,-12.452380952381,-15.5714285714286,3986
"1236","Texas","40",83,73,72,40,86,70.8,69,0.00764509949122612,30762,402,44.692,-14.4285714285714,-7.42857142857143,-23.5714285714286,2,-26.7142857142857,7.28571428571429,-10.4761904761905,-12.9714285714286,4016,61,0.00600198457580435,46598,446,42.338,-17.8571428571429,-11.1428571428571,-27.2857142857143,-8.57142857142857,-28.2857142857143,9.28571428571429,-13.9761904761905,-15.0571428571429,3986,63,-0.0251764083264729,29100,474,41.351,-16,-9.42857142857143,-24.8571428571429,7.42857142857143,-28,7.85714285714286,-10.5,-14.0857142857143,3986
"1237","Texas","41",91,59,100,39,83,74.4,57,0.0449156047212561,26584,443,45.308,-16.4285714285714,-7.85714285714286,-23.5714285714286,0.285714285714286,-27,7.57142857142857,-11.1666666666667,-13.4571428571429,4016,69,0.00764509949122612,30762,402,44.692,-14.4285714285714,-7.42857142857143,-23.5714285714286,2,-26.7142857142857,7.28571428571429,-10.4761904761905,-12.9714285714286,4016,61,0.00600198457580435,46598,446,42.338,-17.8571428571429,-11.1428571428571,-27.2857142857143,-8.57142857142857,-28.2857142857143,9.28571428571429,-13.9761904761905,-15.0571428571429,3986
"1238","Texas","42",97,69,87,44,89,77.2,65,-0.0195932151267252,31301,532,35.195,-15.1428571428571,-8.14285714285714,-22.7142857142857,2.42857142857143,-27.4285714285714,7.57142857142857,-10.5714285714286,-13.1714285714286,4016,57,0.0449156047212561,26584,443,45.308,-16.4285714285714,-7.85714285714286,-23.5714285714286,0.285714285714286,-27,7.57142857142857,-11.1666666666667,-13.4571428571429,4016,69,0.00764509949122612,30762,402,44.692,-14.4285714285714,-7.42857142857143,-23.5714285714286,2,-26.7142857142857,7.28571428571429,-10.4761904761905,-12.9714285714286,4016
"1239","Texas","43",84,69,75,44,81,70.6,54,-0.0152303724528916,38596,611,37.601,-16.1428571428571,-9.28571428571429,-23.4285714285714,-3.28571428571429,-25.8571428571429,7.57142857142857,-11.7380952380952,-13.4285714285714,4016,65,-0.0195932151267252,31301,532,35.195,-15.1428571428571,-8.14285714285714,-22.7142857142857,2.42857142857143,-27.4285714285714,7.57142857142857,-10.5714285714286,-13.1714285714286,4016,57,0.0449156047212561,26584,443,45.308,-16.4285714285714,-7.85714285714286,-23.5714285714286,0.285714285714286,-27,7.57142857142857,-11.1666666666667,-13.4571428571429,4016
"1240","Texas","44",73,63,71,38,71,63.2,50,-0.00634680948954192,42480,846,33.667,-16.2857142857143,-7.85714285714286,-25.8571428571429,-16.4285714285714,-26.1428571428571,8.14285714285714,-14.0714285714286,-13.6,4066,54,-0.0152303724528916,38596,611,37.601,-16.1428571428571,-9.28571428571429,-23.4285714285714,-3.28571428571429,-25.8571428571429,7.57142857142857,-11.7380952380952,-13.4285714285714,4016,65,-0.0195932151267252,31301,532,35.195,-15.1428571428571,-8.14285714285714,-22.7142857142857,2.42857142857143,-27.4285714285714,7.57142857142857,-10.5714285714286,-13.1714285714286,4016
"1241","Texas","45",86,72,70,39,80,69.4,64,0.0523483598285627,61785,940,38.883,-16.2857142857143,-9.57142857142857,-26.1428571428571,-7.14285714285714,-25.4285714285714,8,-12.7619047619048,-13.8857142857143,4066,50,-0.00634680948954192,42480,846,33.667,-16.2857142857143,-7.85714285714286,-25.8571428571429,-16.4285714285714,-26.1428571428571,8.14285714285714,-14.0714285714286,-13.6,4066,54,-0.0152303724528916,38596,611,37.601,-16.1428571428571,-9.28571428571429,-23.4285714285714,-3.28571428571429,-25.8571428571429,7.57142857142857,-11.7380952380952,-13.4285714285714,4016
"1242","Texas","46",91,87,68,35,100,76.2,62,0.0180508978911474,74287,1071,38.915,-16.5714285714286,-9,-26.4285714285714,-8.85714285714286,-26,8.28571428571429,-13.0952380952381,-13.9428571428571,4066,64,0.0523483598285627,61785,940,38.883,-16.2857142857143,-9.57142857142857,-26.1428571428571,-7.14285714285714,-25.4285714285714,8,-12.7619047619048,-13.8857142857143,4066,50,-0.00634680948954192,42480,846,33.667,-16.2857142857143,-7.85714285714286,-25.8571428571429,-16.4285714285714,-26.1428571428571,8.14285714285714,-14.0714285714286,-13.6,4066
"1243","Texas","47",85,57,73,33,63,62.2,59,0.00716990854765015,85214,1192,24.792,-17.1428571428571,-8.42857142857143,-24.7142857142857,-13.5714285714286,-25,8.28571428571429,-13.4285714285714,-13.4,4066,62,0.0180508978911474,74287,1071,38.915,-16.5714285714286,-9,-26.4285714285714,-8.85714285714286,-26,8.28571428571429,-13.0952380952381,-13.9428571428571,4066,64,0.0523483598285627,61785,940,38.883,-16.2857142857143,-9.57142857142857,-26.1428571428571,-7.14285714285714,-25.4285714285714,8,-12.7619047619048,-13.8857142857143,4066
"1244","Texas","48",85,79,91,42,84,76.2,64,0.00743795060254551,73091,1278,47.521,-23,-8.14285714285714,-29.7142857142857,-23.5714285714286,-43.4285714285714,13,-19.1428571428571,-18.2571428571429,4066,59,0.00716990854765015,85214,1192,24.792,-17.1428571428571,-8.42857142857143,-24.7142857142857,-13.5714285714286,-25,8.28571428571429,-13.4285714285714,-13.4,4066,62,0.0180508978911474,74287,1071,38.915,-16.5714285714286,-9,-26.4285714285714,-8.85714285714286,-26,8.28571428571429,-13.0952380952381,-13.9428571428571,4066
